word,label,x,y
similar,0,3.0120752,1.8112825
controlar,-1,0.66955733,5.474494
previo,1,2.059314,6.05236
continuo,0,2.7471364,3.6660128
asintomatica,-1,1.0788954,7.8235598
clinico,-1,1.5585374,5.9791064
miocardiopatia,-1,1.5523336,5.12313
severamente,-1,4.8622184,1.9277034
pared,0,2.9954724,3.1782067
mseg,-1,6.496654,3.0189846
criterio,0,2.8914938,3.8203845
intentar,-1,6.6120896,9.506975
confirmar,1,1.9956785,5.9868793
tisular,-1,2.1011827,4.049133
picar,0,2.278133,3.9600806
sistolico,0,2.7298217,3.4000704
caro,0,3.4203188,3.9154942
lateral,0,3.3557014,3.1197393
salir,0,3.0072806,2.3397367
señalar,-1,6.4959683,6.64624
preeyectivo,-1,7.712262,9.952226
aortico,0,3.9049828,3.873346
inferior,-1,2.0268958,4.471578
tornar,-1,4.1492825,1.6542323
superior,0,4.4130173,2.773821
extrasistolia,-1,0.68873143,5.3699226
soplar,-1,-0.16736856,7.736792
velocidad,0,2.9346323,3.257224
dt,-1,3.8704746,3.6009126
parede,0,4.5332584,4.214181
protesismitral,0,3.224733,1.7605447
normofuncionante,0,4.2695913,1.9940422
protesis,-1,3.0760767,1.719581
regurgitacion,0,4.133424,1.956303
esclerosis,0,4.784013,2.4125426
conm,-1,8.932949,5.6832323
indirecto,-1,4.2575903,4.9563317
eyeccion,-1,1.9496261,4.434918
malo,0,2.9799566,1.9498361
coaptacion,0,3.625412,2.865042
restrictivo,0,4.1569495,2.0827203
excentrico,0,4.0027423,2.0904424
vlavula,-1,9.640694,5.770115
engrosar,0,4.153072,2.1917977
c,-1,8.043293,3.6565492
isquemica,-1,1.1130799,5.3205123
revascularizada,1,0.40261123,7.453372
revascularizado,1,0.93909764,8.061138
cicor,-1,-0.07119797,7.815176
anuloplastia,0,3.5360072,1.9289289
erar,0,4.496398,3.156466
segmentario,-1,1.223555,4.502455
movilidad,0,2.9488096,4.2362614
estenosismoderada,0,4.07662,2.3401031
relajacion,-1,4.3104215,1.7112396
consultar,-1,1.6178349,5.890214
eco,1,1.2688493,7.827423
operar,-1,2.741232,2.0363977
reconstruccion,-1,7.0290527,4.9505444
durar,-1,3.0039978,7.8806825
cerrar,0,3.471357,3.5711265
año,-1,-0.13569655,7.8861737
rechazar,2,2.6894577,9.142368
cirugia,1,0.5440743,7.1465235
alto,0,3.75328,3.922528
riesgo,1,1.2182617,7.414987
objetivar,0,2.9671416,4.752997
hemodinamica,0,3.0067148,5.2489114
episodio,-1,1.0058031,5.6282787
acva,-1,2.2995605,9.747705
signo,0,2.8633761,4.9155693
aneurismatica,0,4.284565,4.076614
gigante,-1,6.5323853,2.8866012
conocer,-1,3.9888132,7.547067
corticoide,2,4.4133406,9.652621
ingresar,1,0.22258732,7.5900655
medicinar,-1,2.7683642,2.0513468
interno,1,0.5360074,7.7013507
fiebre,-1,0.17367356,7.389325
disfuncion,-1,5.404849,3.9227366
unicamente,0,3.8574622,5.463349
llamar,-1,2.454426,8.749766
atencion,0,3.092031,4.71729
zona,0,3.4219637,3.2402444
medio,-1,0.8019533,4.905491
fap,-1,-0.06107866,7.8710346
post,-1,-0.10622367,7.8569283
iam,-1,-0.061883245,7.734925
actp,-1,0.59450763,6.2866645
primario,-1,0.69594496,6.7972326
anteroapical,-1,1.9993716,5.004825
postinfarto,-1,0.5386262,8.54455
infartar,-1,0.12039035,7.40821
agudo,1,0.45604798,7.493804
miocardio,0,2.1410942,4.764981
evolucionar,-1,0.7190632,6.503631
inferobasal,0,2.2791495,4.5112576
funcional,0,4.055089,3.209563
tenting,0,4.039282,2.3437703
anchura,-1,3.638669,2.605585
electrodo,-1,5.5186944,2.7917955
marcapasos,-1,5.5129766,1.9214072
displasica,-1,8.242037,3.4324563
redundante,0,3.980398,2.9624352
dudoso,0,2.9891407,4.3575277
tecnicamente,1,1.5471656,5.968297
dificil,0,3.8584888,4.8657784
torax,1,0.84884745,7.1384134
varon,-1,5.0697904,10.018857
joven,-1,1.5143625,8.291134
asintomatico,1,1.1497585,7.3993783
alteración,-1,1.5351092,7.028448
repolarizacion,-1,1.2367693,6.6054664
negativo,-1,1.5300734,5.9649124
anual,-1,3.040186,7.9091005
imagenes,0,2.9675033,5.405233
suboptimas,0,2.1431699,4.728944
plano,0,3.218499,4.6301603
paraesternal,0,3.0202258,2.217772
cuantificar,-1,4.012493,3.2075315
aorta,0,2.6951566,3.3825643
sincopar,-1,0.013740274,7.7511764
anomalia,-1,3.5338666,6.017053
motilidad,-1,4.9525437,2.8910296
estenosismitral,0,4.517575,3.5072603
detectar,0,3.1683156,3.1796076
realizar,-1,1.0905263,4.8997045
complicación,-1,2.9937258,5.4323554
bidimensional,-1,7.297887,3.680538
velo,0,3.8532524,2.4318416
condicionar,0,4.1146135,2.3439417
presentar,-1,3.7753859,5.813223
sesion,-1,0.67888695,6.819825
clinica,1,1.5341626,5.9950075
acentuar,-1,6.095464,4.7854657
apreciar,0,3.670191,3.523418
nivel,0,3.52366,3.324349
union,0,3.627436,3.1283274
mitroaortica,0,3.5831,3.443532
insuficienciamoderada,0,4.08828,1.9608587
coincidente,-1,2.0585163,8.606279
planimetria,-1,4.089376,2.7569237
thp,-1,3.729582,2.2500038
global,-1,4.5463877,1.7704383
camaras,-1,4.1288037,1.7465549
tamaño,0,4.5743876,1.9187316
iao,0,4.335037,3.07542
im,0,4.148028,4.6203737
it,0,2.6377976,3.4436798
calcular,-1,3.1983669,2.5886974
psap,-1,2.4517126,3.5475128
regurgitante,0,3.5066404,3.288463
dirigir,0,3.4368699,3.002329
copn,-1,10.475851,3.7631123
efecto,0,3.4451287,3.1782544
coanda,0,3.4444418,3.0396576
volver,-1,3.2325566,6.2459817
techar,0,3.1723313,3.2121484
definir,0,3.638946,4.007643
fibrosada,0,4.285544,1.9556245
restriccion,-1,4.0869956,2.7735453
insufcienciamitral,3,9.255614,2.83928
tricupidea,3,9.314203,3.3146954
permitir,-1,3.3200648,2.149599
estimar,0,4.0465226,1.7351806
hipertension,-1,3.3112118,2.2344778
aceptable,-1,0.6673822,5.305959
paps,-1,2.4421241,3.5327868
mmhg,-1,4.1150107,1.7290018
isquemico,0,2.896052,4.3964095
hipertensivo,-1,1.7524031,4.9146643
calcio,0,3.6114256,3.1781743
av,0,5.2030096,4.1350503
n,-1,5.440663,1.973685
v,-1,4.5611906,2.900916
maximas,-1,7.4532957,3.4674213
segundo,-1,3.4207306,2.0223877
aumentar,0,2.8150275,3.6318061
avm,0,4.5622315,2.310975
importante,0,4.1182013,3.2355883
sobretodo,-1,6.8735,4.801742
fr,-1,8.623992,9.2078085
pap,0,2.3499823,3.711186
sitolica,-1,7.412078,3.6198437
roturar,0,3.3936205,3.4644802
cuerdo,0,3.4277978,3.16499
tendinoso,0,3.5268655,3.4924877
condicion,-1,7.329544,5.415757
tener,-1,2.6790955,6.5529184
turbulencia,-1,7.296024,4.8015103
region,0,3.1379445,4.1252837
insuficiena,-1,7.6564894,2.7966852
leak,0,3.6059868,3.2600029
paravalvular,0,2.8414915,2.358874
suponer,-1,6.870269,2.5465884
considerar,1,1.881959,6.0486956
deprimir,-1,1.4840165,4.1779075
esclerosada,0,4.3961563,1.8955077
ocasionar,0,4.077401,3.5870078
pasar,-1,3.1770833,4.1601067
burbuja,1,1.7037253,6.0074697
cavidad,0,2.6149538,3.496134
protesisaortica,0,3.098916,1.7074794
sustitucion,-1,0.12586455,7.3261137
protesismecanica,0,3.071887,1.7122799
enero,1,0.37432826,7.7185593
mixoide,-1,3.9723997,2.8470716
pvm,-1,0.70231444,6.2600646
precisar,-1,3.0332284,5.977439
prolapsa,0,3.6214976,3.8735425
aortioca,-1,6.9382215,3.8074968
hipetrofia,-1,3.6214259,5.9071593
asincronico,-1,1.2980429,4.4917207
existir,0,3.0187442,4.318873
sam,0,3.1354983,3.5681365
aorticos,-1,5.7646933,3.3976414
dimensionar,-1,7.522735,3.530406
segmentar,0,2.5481882,4.3389454
fsvi,-1,7.857644,4.24428
aconsejar,-1,1.4779912,7.1019025
profilaxis,-1,4.446835,8.172178
endocarditis,-1,0.11246201,7.355141
ett,1,1.113952,6.924842
imposible,0,4.294428,4.7578845
falto,0,3.1690686,4.7700415
colaboracion,-1,1.6949303,5.5074043
valorar,1,1.8883522,6.350412
transesofagico,-1,0.58216435,6.748654
predominante,0,3.7017815,3.681798
espontanear,0,3.1490483,4.1037383
pcp,3,9.753496,7.6295514
pendiente,1,0.16053519,7.585767
solicitar,-1,1.4472136,6.145576
hvi,-1,1.0537549,5.3970513
llendo,0,5.361842,4.1596365
parecer,0,3.4938617,4.83135
transmitral,-1,2.133907,3.983672
dp,-1,2.3354447,3.6953354
central,0,3.9549828,2.1876526
resumir,-1,7.3218966,3.879039
anular,0,4.0586715,2.6409318
sincopal,-1,-0.03868886,8.056845
vasovagal,-1,1.9177189,7.7327623
test,1,-0.04081229,7.26328
basculacion,-1,6.5758057,8.830565
dai,0,2.7749202,2.0657134
resincronizador,-1,2.864406,9.659798
afectar,0,3.6273959,4.388056
verano,-1,4.5168147,8.150888
poner,1,0.67881286,7.221255
ad,0,3.1867669,3.1082647
periodo,-1,2.6834252,8.376528
preeyectivos,-1,6.0812674,9.672244
prolongar,-1,2.4993103,5.137547
diferenciar,-1,4.889999,8.233244
disnea,1,1.079801,7.628449
enviar,-1,0.6354386,6.759088
iv,0,2.9780912,3.3544903
icc,-1,-0.2319026,7.788683
apical,0,2.9801419,5.307342
anteroapicales,0,2.7731676,5.1866083
lateroapicales,-1,9.894284,5.700521
biplano,0,5.633129,4.091377
calcificar,0,4.2161407,2.100503
mecanica,-1,4.5039907,3.1259418
hipoquinesia,-1,3.8634055,7.0003223
difuso,-1,1.3894539,4.369564
fraccion,-1,1.2916743,4.4151654
sever,-1,8.345116,2.2889276
iii,-1,1.5317358,4.100893
dilatda,-1,8.239129,2.8418682
milisegundo,-1,6.65143,3.3864477
estenotico,-1,7.619054,5.0085397
ningun,0,2.9689102,4.408633
datar,-1,4.8607006,4.959006
gravedad,-1,4.3858085,6.0234823
vc,0,3.9847836,2.2979903
invertir,0,3.175945,3.2000086
diam,3,7.56813,2.9853783
mamario,-1,2.77994,2.089795
implantar,-1,0.65328217,6.8742642
descargar,2,5.364771,8.761947
descartar,-1,1.8671577,5.023343
periprotesica,0,2.8880124,2.3188102
interauricular,0,2.8837008,3.4411736
completo,-1,2.1424065,6.436501
lleno,-1,4.5948915,3.050305
completamente,-1,4.387946,7.221684
adecuar,-1,5.473687,3.1267023
morfologia,-1,1.5465039,4.0560813
dilatadao,3,10.52308,6.253447
dtdvi,-1,6.941517,2.5697522
gastar,-1,7.470269,3.37508
morfologicamente,-1,4.960304,2.035494
valcula,3,9.096984,2.7430093
depresion,-1,7.4170866,4.120709
recomendar,-1,1.7368805,5.9465637
continuar,-1,1.9560245,6.7321396
rogar,-1,2.6580687,7.812345
adjuntar,2,3.4521177,9.24941
historia,-1,1.4790708,6.097865
enfermar,2,5.4320574,8.75116
acudir,1,1.1659535,7.2292767
realizarse,-1,1.8255496,6.9065146
punto,0,3.4171646,3.4015465
estenotica,0,4.212862,2.533191
inversion,0,3.234041,3.101598
insuficienciamoderda,-1,10.416679,3.8586595
ii,-1,1.493514,4.126636
comunicacion,0,3.6695278,4.3366604
subvalvular,0,3.303803,3.044376
objetivandose,-1,3.5528522,6.784658
compatible,0,3.8638992,2.9513555
membrana,0,4.49981,4.3139405
subaortica,0,4.0231667,4.232962
paton,-1,9.901611,3.2580414
vavula,-1,5.07974,2.6844702
dd,-1,7.4929566,2.72747
creer,-1,4.609331,8.45129
necesario,-1,2.1357388,6.013671
tecnica,-1,1.4450651,6.6782637
rnm,-1,2.2387967,9.232084
hacer,-1,2.0315404,7.6618314
fijar,0,4.6136255,3.6994488
sugerir,0,2.5428011,4.408322
etiologia,0,3.6055133,5.4292154
inferomedial,-1,5.957454,6.45361
latera,0,3.1622262,4.891824
diametro,-1,4.41162,2.8662682
anteroposterior,-1,5.941998,3.1481702
miral,-1,7.435717,2.89877
supraestimado,-1,7.8022256,7.6548743
insuficienciamuy,-1,7.735017,3.0352082
contractilidad,-1,1.2560569,4.436788
disfuncionante,-1,4.7774305,2.172101
maximo,0,3.4242911,2.4928558
max,0,4.6313467,2.0548255
valulopatia,-1,9.61979,9.329229
inactivo,-1,7.186156,3.7452793
aspecto,0,4.232477,2.0221143
reumatico,0,3.8804243,2.9236937
llegar,0,3.326614,3.2829788
parcial,0,4.133722,3.553366
caracteristicas,-1,3.3440707,6.5324492
htp,0,3.305815,2.2041972
cri,-1,7.4513235,10.732754
predominio,0,4.077067,3.6237476
alterar,-1,6.871572,5.355022
desconocer,1,0.60900533,7.2445235
valvua,-1,5.0573015,2.096566
sindrome,-1,0.63554317,8.477579
taquicardia,-1,0.9504198,5.4656253
frecuencia,-1,0.12088707,8.185442
lpm,-1,0.8169667,4.953632
probablemente,0,5.7922664,4.271557
discinetico,-1,6.6482716,6.090273
formar,0,2.7003875,4.9333
correcto,0,3.360384,4.2823887
visu,-1,7.2938747,3.2397912
izquerda,-1,9.457688,3.612774
recomendable,-1,4.7406445,8.348969
repetir,1,1.4522374,6.221931
severidad,0,2.7548048,3.631381
preciso,1,1.8608538,6.0387297
anatomia,-1,2.9434068,6.112889
mixoides,-1,4.863903,3.104169
valula,-1,8.361312,2.7899866
intubar,-1,1.4320108,7.2521496
excrecencia,-1,7.1787586,6.908064
menor,0,4.097054,3.9988782
ecodensidad,-1,6.8947816,5.975468
finar,-1,5.470055,6.579755
filiforme,0,3.454341,4.4835057
haciaambos,-1,7.398976,6.02265
lado,-1,6.7698927,5.4407234
vegetacion,0,3.396071,3.3798275
lamb,-1,6.8078113,7.17788
contrastar,1,1.9858267,6.424389
empeorar,2,3.2257848,9.102832
progresivamente,-1,9.322747,6.9696107
ultimar,-1,2.185383,6.8375735
semana,1,0.35910398,7.641344
urgencia,1,0.16542907,7.3376412
pautar,-1,2.8825622,8.097879
seguril,2,5.543494,9.643732
progresion,-1,2.4794865,9.218362
aneurisma,0,2.9785645,4.3009434
movil,0,3.4258678,3.379275
separar,0,4.218101,4.2652197
separacion,-1,6.783384,4.008666
anarquico,0,2.6889539,4.7935715
sugeria,-1,7.0552216,5.213945
sedacion,-1,0.5710496,6.7180886
esclerodegenerativa,-1,4.835467,2.1389725
comportamiento,0,3.7972167,3.9827063
hipertrofica,-1,1.9222727,5.103118
obstructivo,-1,2.1697643,5.939788
foramen,0,2.9915986,4.721768
oval,0,3.7234309,3.6676364
permeable,0,3.3530288,5.4951
valvual,-1,8.310798,2.6062496
insuficincia,-1,7.676021,3.041246
em,-1,4.116126,2.627214
grad,-1,3.8182743,1.974164
conservda,-1,7.1680846,2.2565656
acortar,0,2.5696077,3.9835234
postrior,0,3.6412156,3.1548872
rigido,-1,6.719222,4.931443
degenerar,-1,4.7149944,2.1898572
consevada,3,8.695095,3.3297198
cavo,0,3.0225832,2.021269
colapsar,0,2.5133379,3.6844575
laterobasal,-1,7.013127,6.892737
reevaluacion,-1,1.9942802,7.813186
debutar,2,2.7858064,9.913449
mesar,-1,0.5130883,8.11864
progresivo,-1,1.4512665,8.290599
mejorar,1,1.7874683,6.2459598
estar,-1,3.627939,7.05563
degenerativo,0,4.355416,2.402578
trisuspide,3,10.143286,3.9813871
radiar,0,4.0898743,3.2636275
funciion,3,7.540139,2.1638217
rigidez,-1,5.3639507,6.092114
aparato,0,3.6689856,2.959161
score,0,3.6465251,4.8140283
correctamente,0,3.6806347,4.5730147
muesca,-1,4.384438,5.63907
coincidir,-1,3.6786642,9.532896
patro,-1,9.487262,5.972375
diastolico,-1,1.5700642,4.115885
moderda,-1,8.320665,2.9277918
siv,-1,1.4616026,4.1844993
auriculas,-1,3.5181606,1.9605744
hipocinetico,-1,6.234345,6.322118
dolor,-1,-0.18315291,7.284965
toracico,-1,0.9711619,4.959406
medial,0,3.6128929,3.2373137
septoapical,0,2.6885648,5.0078745
anteroseptal,-1,2.2084544,4.504447
lesionar,-1,3.8257663,7.0613575
mostrar,-1,2.7064662,4.901631
hipertrofico,-1,7.534568,3.612996
alteracioens,-1,4.5644045,6.359725
aparecer,-1,2.9977715,6.4666214
imagnes,-1,3.556662,8.115381
citar,-1,1.5673238,6.0355835
estimacion,0,3.449866,3.3282
serio,-1,2.331337,5.2949977
discinesia,0,5.1198387,4.226302
inferoposterior,0,2.4128344,4.5457664
anterolateral,0,2.5801141,4.4706597
hallazgo,-1,2.1541672,5.97845
retraccion,0,3.584404,2.7607272
lateroapical,0,2.7292855,5.0586247
vol,-1,3.3117206,2.595257
ocupar,0,3.4540381,3.2960377
dirije,-1,5.4493957,4.474223
trivalva,0,4.2300196,2.028567
valva,0,3.7418842,3.3137262
dilatdo,-1,8.90301,4.433558
uan,3,10.7689085,6.624273
eao,-1,5.7364473,3.3109534
triscuspide,3,9.113285,3.7945619
profundidad,0,4.1696644,3.6951854
vmax,-1,3.472482,2.538274
ascendente,0,3.1124692,1.7473497
mitrasl,3,8.290418,2.626255
rmn,1,1.6832012,6.0426173
raiza,-1,7.752364,2.5418873
prequirurgica,-1,0.6694279,8.656933
hipertofia,-1,6.5240097,5.989338
medioventricular,-1,6.661869,2.3247223
sistole,0,3.5755146,3.7488053
tender,-1,7.0093102,3.8644474
elevar,-1,3.19133,2.8347812
tracto,0,5.319383,4.1212254
poder,0,3.1917088,5.2023096
reaccion,-1,6.5197945,5.459481
dercho,3,8.854101,2.6369722
sufrir,-1,5.074049,8.182773
shock,1,0.8366807,7.0202374
sonovue,-1,0.9980026,6.786161
estduio,-1,9.212843,4.6715484
sca,-1,0.48465082,8.025816
triscuspidea,-1,8.755463,2.6004212
retirar,-1,1.5288377,6.894313
sondar,1,1.9532255,6.3075595
finalizar,-1,1.3518144,7.4632607
procedimiento,1,0.7721975,6.9008255
prolapsan,-1,7.246023,4.9642143
a,0,4.0709305,3.6028154
evaluar,-1,4.288325,4.961023
pegar,0,4.6318297,3.6898808
tricuspideos,-1,4.7972755,2.9658573
posterio,-1,5.5739794,4.60121
tamño,-1,7.6837883,3.675853
pseudonormal,-1,4.778158,2.1469157
insuficienci,-1,4.839182,2.00463
sia,0,3.0042355,3.5478847
aotica,-1,8.80783,2.7311099
abundante,0,3.3050127,4.840977
componente,0,3.0658653,4.6145964
posiblemente,-1,5.616077,4.6510205
mixto,0,4.560709,3.746378
ventriuclo,3,8.499097,3.3531404
mital,-1,8.038759,2.9548774
pericaridico,-1,8.211053,6.5924344
insuficienciamital,-1,8.085123,7.1737447
bloquear,-1,1.7439868,5.126996
depirmida,3,9.01059,3.182591
posterobasal,-1,6.3466516,4.824343
adelgazar,0,2.5523124,4.531025
aortic,-1,8.299956,2.7815142
dialtacion,-1,6.757152,2.4560776
palpitación,-1,0.017082265,7.638501
maxima,-1,4.5208926,2.7395544
descendente,0,3.5373402,1.896455
alineacion,0,2.3902013,3.9144452
ao,0,2.9453933,3.2227225
optima,-1,4.612106,8.438215
algun,0,3.6479027,4.3252025
valvuloplastia,-1,0.5293944,6.756507
borde,0,3.2200153,4.6815286
engrosamiento,0,3.5356429,3.0545936
w,-1,2.8225167,8.057001
presion,-1,3.2087975,2.4528024
inmovil,0,4.5042253,3.8581405
indicar,-1,4.2757363,4.8682566
balon,1,0.2653827,7.447848
candidato,1,0.9620496,6.9928966
correccion,-1,10.01314,8.530812
quirurgica,-1,0.15083745,7.2365355
página,-1,5.764659,4.8229194
telesistolica,0,4.2802277,2.5672333
rs,-1,-0.2609229,7.5790405
esclerocalcificada,0,4.1331506,1.969635
tranesofagico,1,0.8931171,6.8385434
secundario,-1,3.160632,6.6570625
probable,-1,2.5782318,4.6503468
terciario,-1,3.881234,6.4755588
embolia,2,3.0429149,9.9826145
cerebral,1,0.32077482,7.7140265
ritmar,-1,0.7945286,4.943719
sinusal,-1,0.77471095,4.942713
interior,0,3.2012725,4.623259
ovalar,0,3.7534142,3.7224307
servicio,-1,1.0788463,7.633684
posterolateral,0,3.0527997,4.2640576
auricular,0,2.9161167,2.2874842
bicuspide,-1,3.9413962,2.9334116
coartacion,-1,0.602992,8.627043
cayado,-1,5.883473,2.6815355
sistolic,-1,7.443833,4.075528
añadir,-1,3.4489157,8.108689
tratamiento,-1,-0.1585931,7.4604344
miligramo,-1,1.4539254,6.2226996
comprimir,-1,3.4329872,6.7391315
desayunar,-1,3.471611,7.8007956
ajustar,-1,3.0088308,7.8635087
dosismaxima,-1,8.487266,8.1589775
tolerar,-1,2.075637,6.1736403
analitica,-1,1.3560144,7.291434
control,-1,-0.093242,7.9396596
proxima,-1,3.3885508,7.8384213
renal,-1,-0.0796245,7.762965
revision,1,0.7989573,6.9007325
mes,1,0.81570655,8.119216
pequeño,0,3.5807772,3.315533
avila,1,0.2790761,7.570674
destacar,-1,5.541913,4.1139293
densidad,0,2.5673318,3.8369524
ecografica,-1,4.2121196,6.441462
fibrosis,0,4.257096,2.0690656
musculo,0,2.912529,4.4181967
papilar,0,3.376017,3.3649058
insuficienica,-1,4.7552123,1.9803618
jc,-1,1.8669593,5.039313
der,-1,7.5465536,2.1564958
soplo,-1,6.0540752,2.56586
telesistolico,-1,5.3635263,2.6284864
estnosis,-1,8.402773,3.2411191
fucion,3,9.589044,2.961061
trivial,-1,4.7197495,2.3427362
grve,3,9.953581,5.6977315
amplio,0,3.6822953,4.289326
venticulo,3,9.177261,3.0149848
angor,-1,1.0404494,8.462575
flutter,-1,0.57054096,5.9714584
denso,0,4.1670585,4.5060296
desestructurada,-1,5.100959,2.1055675
restringir,0,4.257171,2.0672495
derehco,3,9.307761,4.12321
pvc,0,3.2419677,2.3117123
informar,1,1.8090835,5.9512305
dfe,3,10.064456,7.7168975
volumen,0,6.0653243,4.1837816
mecanismo,0,3.2542002,3.9407725
origen,-1,2.927806,5.6047387
febricula,-1,3.5595858,9.885743
coronariano,0,3.407973,3.1477957
